pair,speech_file,noise_file,snr_in_db,snr_gtcrn_db,snr_nsnet2_db,jacc_noisy,jacc_gtcrn,jacc_nsnet2,prec_noisy,rec_noisy,prec_gtcrn,rec_gtcrn,prec_nsnet2,rec_nsnet2,pesq_noisy,pesq_gtcrn,pesq_nsnet2,n_frames
0,7176-92135-0011.flac,3-126113-A-26.wav,5.0,-2.87,1.0,0.3415,0.3488,0.4,0.56,0.4667,0.5357,0.5,0.4118,0.9333,1.297,1.341,1.087,90
1,4077-13754-0012.flac,5-253094-B-49.wav,5.0,-2.51,1.08,0.6606,0.7773,0.5297,0.8848,0.7228,0.8683,0.8812,0.7862,0.6188,1.26,1.529,1.13,312
2,4446-2273-0000.flac,2-125821-A-13.wav,5.0,-2.45,1.19,0.0227,0.7353,0.2447,0.7143,0.0229,0.8974,0.8028,0.7532,0.2661,1.061,1.477,1.047,281
3,5105-28233-0010.flac,2-102414-D-17.wav,5.0,-2.67,1.17,0.8327,0.8347,0.7539,0.888,0.9304,0.92,0.9,0.8813,0.8391,1.509,1.981,1.197,312
4,4446-2275-0033.flac,2-68391-A-41.wav,5.0,-2.7,1.58,0.5519,0.6329,0.5684,0.7944,0.6439,0.7937,0.7576,0.6506,0.8182,1.221,1.562,1.135,220
5,5639-40744-0004.flac,5-234855-A-25.wav,5.0,-2.54,1.07,0.7143,0.6834,0.5105,0.871,0.7988,0.8193,0.8047,0.6354,0.7219,1.273,1.963,1.09,312
6,8455-210777-0006.flac,5-250026-A-30.wav,5.0,-2.22,1.91,0.9091,0.8851,0.5567,0.9302,0.9756,0.939,0.939,0.7826,0.6585,1.885,2.384,1.465,141
7,5639-40744-0037.flac,5-221568-A-22.wav,5.0,-2.9,1.69,0.3642,0.5352,0.3213,0.618,0.4701,0.7525,0.6496,0.4057,0.6068,1.094,1.662,1.064,312
8,7729-102255-0007.flac,4-158653-A-32.wav,5.0,-2.62,1.64,0.8182,0.5743,0.6015,0.9053,0.8947,0.7891,0.6784,0.6275,0.9357,1.2,2.787,1.193,312
9,61-70970-0026.flac,5-262641-A-15.wav,5.0,-2.79,0.65,0.771,0.7422,0.1825,0.8279,0.9182,0.8407,0.8636,0.5897,0.2091,1.364,1.953,1.188,171
10,5683-32879-0023.flac,4-188703-B-8.wav,5.0,-3.12,1.38,0.8346,0.8417,0.744,0.8833,0.9381,0.9352,0.8938,0.8857,0.823,1.28,1.988,1.147,155
11,7176-88083-0015.flac,4-218199-A-35.wav,5.0,-2.13,0.46,0.2188,0.4565,0.0,0.5833,0.2593,0.525,0.7778,1.0,0.0,1.155,1.437,1.067,72
12,5105-28240-0003.flac,1-50688-A-17.wav,5.0,-2.68,1.64,0.7757,0.7451,0.5948,0.8058,0.954,0.8352,0.8736,0.7041,0.7931,1.273,1.897,1.213,172
13,5105-28240-0010.flac,4-180453-A-17.wav,5.0,-2.61,0.88,0.8462,0.6562,0.7385,0.9565,0.88,0.75,0.84,0.7619,0.96,1.227,1.555,1.166,91
14,4446-2273-0032.flac,2-125520-A-43.wav,5.0,-2.91,1.24,0.5948,0.7471,0.6786,0.9579,0.6107,0.8581,0.8523,0.8571,0.7651,1.511,2.318,1.225,244
15,5105-28241-0013.flac,1-54958-A-10.wav,5.0,-2.37,1.11,0.0122,0.619,0.0233,1.0,0.0122,0.7386,0.7927,0.3333,0.0244,1.111,1.653,1.072,150
16,237-126133-0006.flac,4-194754-A-0.wav,5.0,-3.43,0.93,0.7176,0.6667,0.5227,0.8243,0.8472,0.8235,0.7778,0.7419,0.6389,1.565,1.861,1.207,192
17,7176-88083-0027.flac,2-76408-B-22.wav,5.0,-3.04,0.39,0.25,0.15,0.0,0.8,0.2667,0.375,0.2,1.0,0.0,1.113,1.576,1.065,66
18,5142-33396-0024.flac,3-128160-A-44.wav,5.0,-3.01,0.8,0.2022,0.6364,0.5043,0.75,0.2169,0.7975,0.759,0.6444,0.6988,1.074,1.39,1.047,167
19,3570-5695-0010.flac,3-187549-B-6.wav,5.0,-2.98,1.97,0.5,0.5472,0.2784,0.6087,0.7368,0.6591,0.7632,0.314,0.7105,1.491,1.66,1.088,145
20,7021-85628-0020.flac,4-180337-A-28.wav,5.0,-3.15,0.38,0.439,0.507,0.1905,0.5806,0.6429,0.7059,0.6429,0.3636,0.2857,2.018,2.546,1.105,201
21,4507-16021-0014.flac,2-72677-A-18.wav,5.0,-3.0,2.44,0.625,0.5088,0.2787,0.8333,0.7143,0.5686,0.8286,0.3953,0.4857,1.349,1.876,1.167,191
22,6930-76324-0016.flac,1-62850-A-38.wav,5.0,-1.13,0.66,0.8766,0.7863,0.6877,0.945,0.9238,0.8864,0.8744,0.8529,0.7803,1.345,1.168,1.19,287
23,8463-294828-0007.flac,1-46272-A-12.wav,5.0,-2.57,1.46,0.6195,0.5099,0.3021,0.7651,0.7651,0.741,0.6205,0.6905,0.3494,1.205,1.7,1.13,312
24,2830-3980-0005.flac,4-198841-A-37.wav,5.0,-2.92,1.43,0.2759,0.5222,0.2857,0.7742,0.3,0.8246,0.5875,0.4,0.5,1.076,1.583,1.042,201
25,4507-16021-0054.flac,5-188495-A-19.wav,5.0,-3.04,1.51,0.5789,0.5254,0.209,0.7021,0.7674,0.6596,0.7209,0.3684,0.3256,1.338,2.36,1.251,134
26,260-123440-0012.flac,1-46938-A-7.wav,5.0,-2.47,1.92,0.0781,0.4375,0.1111,0.2941,0.0962,0.7,0.5385,0.2857,0.1538,1.113,1.338,1.078,163
27,8455-210777-0041.flac,2-173559-A-39.wav,5.0,-2.87,1.23,0.7126,0.5842,0.4286,0.9688,0.7294,0.7867,0.6941,0.5684,0.6353,1.544,2.314,1.196,199
28,4507-16021-0001.flac,5-207836-A-29.wav,5.0,-2.94,2.98,0.3797,0.56,0.1944,0.5882,0.5172,0.7119,0.7241,0.2456,0.4828,1.26,1.943,1.2,312
29,8463-294825-0008.flac,5-244459-A-28.wav,5.0,-2.96,1.02,0.6364,0.4925,0.6154,0.8571,0.7119,0.8049,0.5593,0.6364,0.9492,1.729,1.716,1.156,124
